Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,original_subnumber,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,right,1,3.1311,0,0,0,1,1,castle,Stim/Prac (2).png,car,right,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,,,
0.3,right,1,1.6511,0,1,1,2,1,balloon,Stim/Prac (3).jpg,computer,right,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,,,
0.25,left,1,1.3821,0,2,2,0,1,shoe,Stim/Prac (1).jpg,phone,left,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,,,
0.25,left,1,1.9691,0,3,3,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,,,,,,,,,,,
0.3,left,1,9.03,,,,,,foot,Stim/Complete/OBJ (21).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,dog,0.2982,0,0,0,14,1,21,Animate,1
0.3,left,1,1.913,,,,,,elephant,Stim/Complete/OBJ (18).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,butterfly,0.3025,0,1,1,11,1,18,Animate,1
0.25,left,1,1.6788,,,,,,butterfly,Stim/Complete/OBJ (10).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,rabbit,0.3028,0,2,2,5,1,10,Animate,1
0.25,left,1,2.0485,,,,,,fork,Stim/Complete/OBJ (22).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,left,chair,0.2432,0,3,3,15,1,22,Inanimate,1
0.25,right,1,7.913,,,,,,cow,Stim/Complete/OBJ (14).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,cat,0.2481,0,4,4,8,1,14,Animate,1
0.2,right,1,5.1594,,,,,,duck,Stim/Complete/OBJ (17).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,cat,0.2491,0,5,5,10,1,17,Animate,1
0.2,right,1,1.9592,,,,,,bear,Stim/Complete/OBJ (6).png,,,60972,6097,2023-01-24_14h32.44.242,KorNet_kid_complete,2020.2.4,Win32,60,right,elephant,0.1953,0,6,6,2,1,6,Animate,1
