Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,9.667,0,0,0,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,,,,,,,,,,,
0.3,right,1,10.43,0,1,1,1,1,castle,Stim/Prac (2).png,car,right,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,,,,,,,,,,,
0.25,right,1,6.698,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,,,,,,,,,,,
0.25,left,1,6.085,0,3,3,0,1,shoe,Stim/Prac (1).jpg,phone,left,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,,,,,,,,,,,
0.3,left,1,6.778,,,,,,apple,Stim/Complete/OBJ (4).png,,,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,left,fork,0.309,0,0,0,1,1,4,Inanimate,1
0.3,left,1,7.024,,,,,,hand,Stim/Complete/OBJ (25).png,,,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,left,elephant,0.302,0,1,1,17,1,25,Animate,1
0.25,left,1,6.04,,,,,,bird,Stim/Complete/OBJ (8).png,,,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,left,rabbit,0.315,0,2,2,4,1,8,Animate,1
0.25,left,0,8.738,,,,,,duck,Stim/Complete/OBJ (17).png,,,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,right,squirrel,0.239,0,3,3,10,1,17,Animate,1
0.25,right,1,6.541,,,,,,spoon,Stim/Complete/OBJ (41).png,,,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,right,airplane,0.24,0,4,4,24,1,41,Inanimate,1
0.25,left,1,6.175,,,,,,frog,Stim/Complete/OBJ (23).png,,,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,left,hand,0.257,0,5,5,16,1,23,Animate,1
0.2,left,1,7.028,,,,,,fork,Stim/Complete/OBJ (22).png,,,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,left,truck,0.247,0,6,6,15,1,22,Inanimate,1
0.2,left,1,8.632,,,,,,kite,Stim/Complete/OBJ (30).png,,,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,left,scissors,0.192,0,7,7,20,1,30,Inanimate,1
0.2,left,1,5.888,,,,,,leaf,Stim/Complete/OBJ (32).png,,,6030,2021-04-16_10h37.23.589,KorNet_kid_complete,2020.2.4,Win32,60,6030,left,lamp,0.197,0,8,8,22,1,32,Inanimate,1
