Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,right,1,7.0587,0,0,0,1,1,castle,Stim/Prac (2).png,car,right,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,,
0.3,left,1,9.3835,0,1,1,0,1,shoe,Stim/Prac (1).jpg,phone,left,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,,
0.25,left,1,7.1838,0,2,2,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,,
0.25,right,1,5.4872,0,3,3,2,1,balloon,Stim/Prac (3).jpg,computer,right,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,,,,,,,,,,,
0.3,right,1,5.9766,,,,,,dog,Stim/Complete/OBJ (16).png,,,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,right,duck,0.3003,0,0,0,9,1,16,Animate,1
0.3,right,1,5.3602,,,,,,spoon,Stim/Complete/OBJ (41).png,,,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,right,scissors,0.3001,0,1,1,24,1,41,Inanimate,1
0.25,right,1,5.7346,,,,,,frog,Stim/Complete/OBJ (23).png,,,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,right,mouse,0.2998,0,2,2,16,1,23,Animate,1
0.25,left,0,6.1741,,,,,,umbrella,Stim/Complete/OBJ (47).png,,,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,right,watch,0.2505,0,3,3,29,1,47,Inanimate,1
0.25,left,1,5.868,,,,,,bird,Stim/Complete/OBJ (8).png,,,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,left,hand,0.251,0,4,4,4,1,8,Animate,1
0.25,left,1,5.5371,,,,,,duck,Stim/Complete/OBJ (17).png,,,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,left,bird,0.2512,0,5,5,10,1,17,Animate,1
0.2,right,1,5.1681,,,,,,airplane,Stim/Complete/OBJ (1).png,,,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,right,leaf,0.2487,0,6,6,0,1,1,Inanimate,1
0.2,left,1,5.2679,,,,,,tree,Stim/Complete/OBJ (44).png,,,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,left,leaf,0.2004,0,7,7,26,1,44,Inanimate,1
0.2,left,1,5.2894,,,,,,chair,Stim/Complete/OBJ (12).png,,,6105,2022-02-14_18h01.50.310,KorNet_kid_complete,2020.2.4,MacIntel,60,left,leaf,0.2003,0,8,8,7,1,12,Inanimate,1
