Duration,resp.keys,resp.corr,resp.rt,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracTrials.ran,objLabel,imFile,distractLabel,corr,participant,date,expName,psychopyVersion,OS,frameRate,,Corr,objDistract,py_duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,objNum,animType,condition
0.3,left,1,9.78915,0,0,0,0,1,shoe,Stim/Prac (1).jpg,phone,left,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,,,,,,,,,,,
0.3,right,1,8.711295,0,1,1,1,1,castle,Stim/Prac (2).png,car,right,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,,,,,,,,,,,
0.25,right,1,5.681045,0,2,2,2,1,balloon,Stim/Prac (3).jpg,computer,right,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,,,,,,,,,,,
0.25,left,1,7.74328,0,3,3,3,1,motorcycle,Stim/Prac (4).jpg,skateboard,left,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,,,,,,,,,,,
0.3,left,1,13.013155,,,,,,bicycle,Stim/Complete/OBJ (7).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,left,umbrella,0.295005,0,0,0,3,1,7,Inanimate,1
0.3,left,1,9.768115,,,,,,flower,Stim/Complete/OBJ (20).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,left,apple,0.28927,0,1,1,13,1,20,Inanimate,1
0.25,left,1,7.362925,,,,,,truck,Stim/Complete/OBJ (45).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,left,fork,0.29932,0,2,2,27,1,45,Inanimate,1
0.25,right,1,5.40102,,,,,,butterfly,Stim/Complete/OBJ (10).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,right,turtle,0.24029,0,3,3,5,1,10,Animate,1
0.25,left,1,5.83012,,,,,,turtle,Stim/Complete/OBJ (46).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,left,cat,0.249795,0,4,4,28,1,46,Animate,1
0.2,left,1,5.141395,,,,,,bird,Stim/Complete/OBJ (8).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,left,frog,0.252495,0,5,5,4,1,8,Animate,1
0.2,right,0,7.756875,,,,,,cat,Stim/Complete/OBJ (11).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,left,deer,0.19009,0,6,6,6,1,11,Animate,1
0.2,left,1,5.88596,,,,,,duck,Stim/Complete/OBJ (17).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,left,mouse,0.20011,0,7,7,10,1,17,Animate,1
0.2,right,0,9.219605,,,,,,kite,Stim/Complete/OBJ (30).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,left,toothbrush,0.187725,0,8,8,20,1,30,Inanimate,1
0.2,left,0,16.94067,,,,,,fork,Stim/Complete/OBJ (22).png,,,6033,2021-05-20_09h04.06.982,KorNet_kid_complete,2020.2.4,Win32,60,6033,right,toothbrush,0.20655,0,9,9,15,1,22,Inanimate,1
