label,number,class_label1,class_label2,class_label3,class_label4,class_label5,class_label6,class_label7,class_label8
n01440764,449, tench, Tinca tinca,,,,,,
n01443537,450, goldfish, Carassius auratus,,,,,,
n01484850,442, great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias,,,
n01491361,443, tiger shark, Galeocerdo cuvieri,,,,,,
n01494475,444, hammerhead, hammerhead shark,,,,,,
n01496331,445, electric ray, crampfish, numbfish, torpedo,,,,
n01498041,446, stingray,,,,,,,
n01514668,383, cock,,,,,,,
n01514859,384, hen,,,,,,,
n01518878,385, ostrich, Struthio camelus,,,,,,
n01530575,386, brambling, Fringilla montifringilla,,,,,,
n01531178,387, goldfinch, Carduelis carduelis,,,,,,
n01532829,388, house finch, linnet, Carpodacus mexicanus,,,,,
n01534433,389, junco, snowbird,,,,,,
n01537544,390, indigo bunting, indigo finch, indigo bird, Passerina cyanea,,,,
n01558993,391, robin, American robin, Turdus migratorius,,,,,
n01560419,392, bulbul,,,,,,,
n01580077,393, jay,,,,,,,
n01582220,394, magpie,,,,,,,
n01592084,395, chickadee,,,,,,,
n01601694,396, water ouzel, dipper,,,,,,
n01608432,397, kite,,,,,,,
n01614925,398, bald eagle, American eagle, Haliaeetus leucocephalus,,,,,
n01616318,399, vulture,,,,,,,
n01622779,400, great grey owl, great gray owl, Strix nebulosa,,,,,
n01629819,494, European fire salamander, Salamandra salamandra,,,,,,
n01630670,495, common newt, Triturus vulgaris,,,,,,
n01631663,496, eft,,,,,,,
n01632458,497, spotted salamander, Ambystoma maculatum,,,,,,
n01632777,498, axolotl, mud puppy, Ambystoma mexicanum,,,,,
n01641577,499, bullfrog, Rana catesbeiana,,,,,,
n01644373,500, tree frog, tree-frog,,,,,,
n01644900,501, tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui,,,
n01664065,458, loggerhead, loggerhead turtle, Caretta caretta,,,,,
n01665541,459, leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea,,,,
n01667114,460, mud turtle,,,,,,,
n01667778,461, terrapin,,,,,,,
n01669191,462, box turtle, box tortoise,,,,,,
n01675722,463, banded gecko,,,,,,,
n01677366,464, common iguana, iguana, Iguana iguana,,,,,
n01682714,465, American chameleon, anole, Anolis carolinensis,,,,,
n01685808,466, whiptail, whiptail lizard,,,,,,
n01687978,467, agama,,,,,,,
n01688243,468, frilled lizard, Chlamydosaurus kingi,,,,,,
n01689811,469, alligator lizard,,,,,,,
n01692333,470, Gila monster, Heloderma suspectum,,,,,,
n01693334,471, green lizard, Lacerta viridis,,,,,,
n01694178,472, African chameleon, Chamaeleo chamaeleon,,,,,,
n01695060,473, Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis,,,
n01697457,475, African crocodile, Nile crocodile, Crocodylus niloticus,,,,,
n01698640,476, American alligator, Alligator mississipiensis,,,,,,
n01704323,474, triceratops,,,,,,,
n01728572,477, thunder snake, worm snake, Carphophis amoenus,,,,,
n01728920,478, ringneck snake, ring-necked snake, ring snake,,,,,
n01729322,479, hognose snake, puff adder, sand viper,,,,,
n01729977,480, green snake, grass snake,,,,,,
n01734418,481, king snake, kingsnake,,,,,,
n01735189,482, garter snake, grass snake,,,,,,
n01737021,483, water snake,,,,,,,
n01739381,484, vine snake,,,,,,,
n01740131,485, night snake, Hypsiglena torquata,,,,,,
n01742172,486, boa constrictor, Constrictor constrictor,,,,,,
n01744401,487, rock python, rock snake, Python sebae,,,,,
n01748264,488, Indian cobra, Naja naja,,,,,,
n01749939,489, green mamba,,,,,,,
n01751748,490, sea snake,,,,,,,
n01753488,491, horned viper, cerastes, sand viper, horned asp, Cerastes cornutus,,,
n01755581,492, diamondback, diamondback rattlesnake, Crotalus adamanteus,,,,,
n01756291,493, sidewinder, horned rattlesnake, Crotalus cerastes,,,,,
n01768244,601, trilobite,,,,,,,
n01770081,602, harvestman, daddy longlegs, Phalangium opilio,,,,,
n01770393,603, scorpion,,,,,,,
n01773157,604, black and gold garden spider, Argiope aurantia,,,,,,
n01773549,605, barn spider, Araneus cavaticus,,,,,,
n01773797,606, garden spider, Aranea diademata,,,,,,
n01774384,607, black widow, Latrodectus mactans,,,,,,
n01774750,608, tarantula,,,,,,,
n01775062,609, wolf spider, hunting spider,,,,,,
n01776313,610, tick,,,,,,,
n01784675,611, centipede,,,,,,,
n01795545,401, black grouse,,,,,,,
n01796340,402, ptarmigan,,,,,,,
n01797886,403, ruffed grouse, partridge, Bonasa umbellus,,,,,
n01798484,404, prairie chicken, prairie grouse, prairie fowl,,,,,
n01806143,405, peacock,,,,,,,
n01806567,406, quail,,,,,,,
n01807496,407, partridge,,,,,,,
n01817953,408, African grey, African gray, Psittacus erithacus,,,,,
n01818515,409, macaw,,,,,,,
n01819313,410, sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita,,,,,
n01820546,411, lorikeet,,,,,,,
n01824575,412, coucal,,,,,,,
n01828970,413, bee eater,,,,,,,
n01829413,414, hornbill,,,,,,,
n01833805,415, hummingbird,,,,,,,
n01843065,416, jacamar,,,,,,,
n01843383,417, toucan,,,,,,,
n01847000,418, drake,,,,,,,
n01855032,419, red-breasted merganser, Mergus serrator,,,,,,
n01855672,420, goose,,,,,,,
n01860187,421, black swan, Cygnus atratus,,,,,,
n01871265,214, tusker,,,,,,,
n01872401,215, echidna, spiny anteater, anteater,,,,,
n01873310,217, platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus,,,
n01877812,216, wallaby, brush kangaroo,,,,,,
n01882714,213, koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus,,,
n01883070,218, wombat,,,,,,,
n01910747,647, jellyfish,,,,,,,
n01914609,648, sea anemone, anemone,,,,,,
n01917289,649, brain coral,,,,,,,
n01924916,650, flatworm, platyhelminth,,,,,,
n01930112,651, nematode, nematode worm, roundworm,,,,,
n01943899,652, conch,,,,,,,
n01944390,653, snail,,,,,,,
n01945685,654, slug,,,,,,,
n01950731,655, sea slug, nudibranch,,,,,,
n01955084,656, chiton, coat-of-mail shell, sea cradle, polyplacophore,,,,
n01968897,226, chambered nautilus, pearly nautilus, nautilus,,,,,
n01978287,613, Dungeness crab, Cancer magister,,,,,,
n01978455,614, rock crab, Cancer irroratus,,,,,,
n01980166,615, fiddler crab,,,,,,,
n01981276,616, king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica,,,
n01983481,617, American lobster, Northern lobster, Maine lobster, Homarus americanus,,,,
n01984695,618, spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish,,
n01985128,619, crayfish, crawfish, crawdad, crawdaddy,,,,
n01986214,620, hermit crab,,,,,,,
