object,num,category
airplane,1,inam
apple,4,inam
bear,6,anim
bicycle,7,inam
bird,8,anim
butterfly,10,anim
cat,11,anim
chair,12,inam
cow,14,anim
dog,16,anim
duck,17,anim
elephant,18,anim
fish,19,anim
flower,20,inam
foot,21,anim
fork,22,inam
frog,23,anim
hand,25,anim
guitar,27,inam
key,29,inam
kite,30,inam
lamp,31,inam
leaf,32,inam
rabbit,38,anim
spoon,41,inam
squirrel,42,anim
tree,44,inam
truck,45,inam
turtle,46,anim
umbrella,47,inam
